City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,huicungo,-7.2833,-76.8,20.12,99,100,0.51,PE,1683973768
1,thompson,55.7435,-97.8558,-1.91,93,40,0.0,CA,1683973769
2,nagqu,31.5,92.0,2.02,36,100,5.48,CN,1683973770
3,touros,-5.1989,-35.4608,26.38,79,92,2.07,BR,1683973772
4,puerto natales,-51.7236,-72.4875,2.47,92,100,1.17,CL,1683973773
5,blackmans bay,-43.0167,147.3167,8.62,86,16,0.88,AU,1683973774
6,constantia,44.1833,28.65,19.38,49,99,3.02,RO,1683973775
7,iskateley,67.6803,53.1512,0.18,88,99,6.38,RU,1683973776
8,edinburgh of the seven seas,-37.0676,-12.3116,18.35,94,100,11.67,SH,1683973778
9,boa vista,2.8197,-60.6733,22.99,100,75,4.12,BR,1683973780
10,adamstown,-25.066,-130.1015,22.45,61,98,7.46,PN,1683973781
11,port elizabeth,-33.918,25.5701,15.17,92,100,5.14,ZA,1683973782
12,waitangi,-43.9535,-176.5597,11.47,61,82,6.28,NZ,1683973783
13,ushuaia,-54.8,-68.3,1.81,69,0,1.03,AR,1683973784
14,hawaiian paradise park,19.5933,-154.9731,21.73,87,100,2.06,US,1683973785
15,grytviken,-54.2811,-36.5092,-0.59,83,100,4.3,GS,1683973786
16,tiksi,71.6872,128.8694,-10.36,86,79,2.39,RU,1683973787
17,pontianak,-0.0333,109.3333,29.99,79,40,4.12,ID,1683973789
18,jamestown,42.097,-79.2353,12.77,88,100,1.22,US,1683973650
19,punta arenas,-53.15,-70.9167,3.06,81,75,4.63,CL,1683973758
20,labytnangi,66.6572,66.4183,0.99,100,97,3.46,RU,1683973792
21,hobyo,5.3505,48.5268,30.64,66,10,10.1,SO,1683973793
22,namie,37.4833,141.0,15.95,79,99,6.13,JP,1683973794
23,sungai penuh,-2.0833,101.3833,23.19,90,80,0.54,ID,1683973795
24,uglich,57.5275,38.3317,19.12,46,81,4.96,RU,1683973798
25,sydney,-33.8679,151.2073,16.61,85,40,3.6,AU,1683973217
26,afaahiti,-17.75,-149.2833,23.93,80,58,6.05,PF,1683973800
27,port-aux-francais,-49.35,70.2167,3.99,65,85,6.06,TF,1683973801
28,zaozersk,69.4005,32.4476,6.32,95,100,5.15,RU,1683973803
29,stanley,54.868,-1.6985,11.4,77,26,1.9,GB,1683973804
30,mugia,43.1041,-9.2179,17.87,73,25,8.01,ES,1683973807
31,san patricio,28.017,-97.5169,27.92,87,100,6.68,US,1683973808
32,badger,64.8,-147.5333,7.95,65,0,2.57,US,1683973809
33,chernomorskoye,45.5039,32.6997,15.09,63,42,6.18,UA,1683973811
34,bilibino,68.0546,166.4372,-14.44,91,81,3.74,RU,1683973812
35,yellowknife,62.456,-114.3525,8.09,70,75,3.58,CA,1683973593
36,eutingen an der enz,48.9167,8.75,16.39,68,96,3.46,DE,1683973816
37,whitehorse,60.7161,-135.0538,6.43,64,40,5.14,CA,1683973817
38,papatowai,-46.5619,169.4708,10.64,76,99,2.25,NZ,1683973818
39,chonchi,-42.6128,-73.8092,13.4,93,100,2.91,CL,1683973819
40,bredasdorp,-34.5322,20.0403,16.57,48,65,7.66,ZA,1683973820
41,invercargill,-46.4,168.35,8.34,95,68,1.34,NZ,1683973822
42,fort bragg,35.139,-79.006,17.68,91,0,1.54,US,1683973567
43,porangatu,-13.4408,-49.1486,23.37,63,78,1.29,BR,1683973824
44,bethel,41.3712,-73.414,18.97,73,100,0.0,US,1683973726
45,avarua,-21.2078,-159.775,26.03,83,100,7.72,CK,1683973826
46,albany,42.6001,-73.9662,16.55,65,100,2.12,US,1683973827
47,picota,-6.9197,-76.3304,21.15,100,100,0.31,PE,1683973829
48,margaret river,-33.95,115.0667,14.57,72,74,4.07,AU,1683973830
49,howrah,22.5892,88.3103,33.0,58,75,2.06,IN,1683973831
50,minas de marcona,-15.2119,-75.1103,14.45,83,1,1.53,PE,1683973832
51,sisimiut,66.9395,-53.6735,-2.4,68,98,3.69,GL,1683973833
52,codrington,-38.2667,141.9667,9.19,90,2,3.15,AU,1683973835
53,tazacorte,28.629,-17.9293,21.54,70,75,7.2,ES,1683973836
54,thinadhoo,0.5333,72.9333,28.52,78,88,6.79,MV,1683973837
55,vorgashor,67.5833,63.95,0.28,99,100,5.48,RU,1683973803
